#{"t_start": 1789828352.1858387, "env_id": "None"}
r,l,t
1104.542495,1500,109.545763
1243.62345,1500,174.977304
1292.231516,1500,234.073731
1288.195192,1500,293.195629
1294.267713,1500,348.010685
1271.720453,1500,399.565737
1243.355912,1500,435.063169
1154.768329,1500,469.862575
1266.024368,1500,504.809807
1189.413094,1500,537.705697
1297.499029,1500,569.080215
1208.163676,1500,600.074081
1204.864745,1500,631.815955
1269.05732,1500,663.182681
1271.906068,1500,695.857257
1267.900002,1500,726.807081
