#{"t_start": 1789828352.362261, "env_id": "None"}
r,l,t
1294.813987,1500,109.36813
1068.84283,1500,174.79248
1225.920848,1500,233.909868
1296.142572,1500,293.009002
1284.060887,1500,347.83484
1230.955468,1500,399.38901
1298.98673,1500,434.886662
1269.268075,1500,469.686946
1298.755801,1500,504.632248
1205.132661,1500,537.528923
1282.237433,1500,568.902313
1309.711841,1500,599.897204
1184.988663,1500,631.63933
1290.202191,1500,663.00586
1236.585288,1500,695.680968
1272.657596,1500,726.630141
