#{"t_start": 1789829171.0581717, "env_id": "None"}
r,l,t
1294.158953,1500,30.821919
1290.511995,1500,61.575679
1299.017675,1500,93.135838
1250.949871,1500,128.945231
747.24714,1500,165.593897
1268.31196,1500,199.667558
1264.746874,1500,236.244295
1198.982715,1500,270.964283
1244.508291,1500,307.959871
1164.428647,1500,342.771565
1131.201691,1500,379.124564
1029.653575,1500,414.706035
1001.244864,1500,451.053123
907.393175,1500,490.145989
1252.730026,1500,525.945751
953.735502,1500,561.32739
1194.039574,1500,596.60645
467.802384,579,610.34084
735.285743,1500,646.383387
220.710369,284,655.684029
1286.998609,1500,702.771019
725.034202,1500,752.283587
-394.761807,1500,809.107815
