#{"t_start": 1789829171.0579083, "env_id": "None"}
r,l,t
1016.693341,1500,30.822615
207.624789,269,36.537456
1225.170097,1500,67.280344
125.130975,1500,99.725344
1100.25913,1500,135.531726
734.398681,1500,171.890666
1143.985415,1500,206.186764
1030.954552,1500,242.960443
1292.316619,1500,277.534272
1048.50526,1500,314.142802
1285.000478,1500,349.534736
1023.633417,1500,385.389422
760.70717,1500,421.307865
1263.55424,1500,457.598363
798.486377,1500,496.729402
219.74661,301,504.000225
829.735019,1500,539.523762
841.105644,1500,574.72275
1174.189427,1500,610.136308
1275.451318,1500,646.134291
1278.230013,1500,696.189969
894.785801,1500,741.038214
874.232354,1500,797.940945
